Fecha,VFC durante la noche,Valor de referencia,Media de 7 días
2 Dic,33ms,29ms - 42ms,32ms
3 Dic,31ms,29ms - 42ms,33ms
4 Dic,33ms,29ms - 42ms,33ms
5 Dic,31ms,29ms - 42ms,33ms
6 Dic,32ms,29ms - 42ms,33ms
7 Dic,29ms,29ms - 42ms,32ms
8 Dic,33ms,29ms - 42ms,32ms
9 Dic,33ms,29ms - 42ms,32ms
10 Dic,35ms,29ms - 41ms,32ms
11 Dic,34ms,29ms - 42ms,32ms
12 Dic,27ms,29ms - 41ms,32ms
13 Dic,34ms,29ms - 41ms,32ms
14 Dic,34ms,29ms - 41ms,33ms
15 Dic,33ms,29ms - 41ms,33ms
16 Dic,33ms,29ms - 41ms,33ms
17 Dic,28ms,29ms - 41ms,32ms
18 Dic,34ms,29ms - 41ms,32ms
19 Dic,39ms,29ms - 41ms,34ms
20 Dic,31ms,29ms - 41ms,33ms
21 Dic,32ms,29ms - 41ms,33ms
22 Dic,33ms,29ms - 41ms,33ms
23 Dic,35ms,29ms - 41ms,33ms
24 Dic,34ms,29ms - 41ms,34ms
25 Dic,35ms,29ms - 41ms,34ms
26 Dic,36ms,30ms - 41ms,34ms
27 Dic,38ms,30ms - 41ms,35ms
28 Dic,41ms,30ms - 41ms,36ms
29 Dic,37ms,30ms - 40ms,36ms
